Set No.;Q1;Q1.A;Q1.B;Q1.C;Q1.D;Q1.E;Q1.AA;Q2;Q2.A;Q2.B;Q2.C;Q2.D;Q2.E;Q2.F;Q2.AA;Q3;Q3.A;Q3.B;Q3.C;Q3.D;Q3.E;Q3.F;Q3.AA
11;If the table were ordered by percentage increase in production between 2010 and 2015, which crop would be in the middle of the table? ;Corn;Rapeseed ;Sugar;Sunflowers;Wheat ;A;How many more tonnes of sugar would France have needed to produce in 2010 for its percentage increase from 2005 (to the nearest whole percentage point) to be the same as the corresponding increase for wheat? ;245.6 ;6560;191;224.7 ;2926.6 ;;B;"The yield (tonnes produced per hectare)
of rapeseed is 3.1 tonnes per hectare in
2005. This improves by 6% by 2015. What
is the percentage increase in land usage for rapeseed production between 2005 and 2015?";27.7% ;13.7% ;35.4% ;26.2% ;20.5% ;;E
12;What was the total EU-28 aquaculture production in 2015 (in million tonnes, rounded to one decimal place)? ;1.3 million tonnes;5.1 million tonnes ;1264.4 million tonnes ;1189.3 million tonnes ;0.8 million tonnes ;A;The French fish catch was 271 thousand tonnes greater than its aquaculture production in 2015. What was the share of French aquaculture production in the total EU-28 production of fishery products (rounded to the nearest whole percent)? ;6%;4%;7%;3%;1%;;D;By what percentage was the increase in the total production of fishery products in the United Kingdom from 2008 to 2015 greater than that in Spain in the same period (rounded to one decimal place)? ;86.1% ;71.2% ;18.0% ;56.0% ;10.8% ;;E
13;The total power generated in the UK increased by 7.25% between 2000 and 2005. What was the percentage increase in nuclear power generation over the same period? ;14.8% ;22%;19.3% ;13.8% ;96%;B;Which form of power generation shows the greatest percentage increase in the percentage of total power generated between 2010 and 2015? ;Fossil fuel ;Wind ;Solar ;Tide/Wave ;Nuclear ;Other ;D;In 2005, 20% of the ‘Other’ power was generated by biomass. By 2010 this amount had increased by 50%. If the total power generated in the UK had increased by 10% over the same period, what percentage of ‘Other’ power was generated by biomass in 2010? ;30%;63.6% ;22.9% ;48.6% ;20.8% ;;E
14;"If the economic damage caused by storms
had doubled, what percentage of the total economic damage would have been caused by storms?";55.2% ;62%;71.8% ;76%;83.7% ;A; If the total cost of economic damage had stayed the same, but Asia had suffered 45% of it, what would have been the absolute loss of Asia? ;Approximately 820 to 835 bn USD ;Approximately 835 to 850 bn USD ;Approximately 850 to 865 bn USD ;Approximately 865 to 880 bn USD ;Approximately 880 to 895 bn USD ;;C;What was the cost of economic damage caused by storms in the Americas? ;$292 billion ;$314 billion ;$387 billion;$455 billion;There is not enough information ;;E
15;Davies ran the last 10m at a speed 8% faster than his overall average speed. By what distance, to the nearest centimetre, did he miss out on the bronze medal (3rd place)? ;43;37;32;26;18;A;How much faster did Adams run than Best on average? ;0.1% ;0.3% ;0.7% ;1.0% ;1.2% ;;B;Carter ran the final 1.3% faster than he ran in the semi-final which was 1.8% faster than his performance in the heat (the race before the semi-final). He won his heat by 3 hundredths of a second. What was the finishing time of the runner who came second in Carter’s heat? ;10.09.;10.18;10.29;10.34;10.37;;E
16;What was the ratio of the percentage change of the total EU sold production of chemicals between 2016 and 2017 to the percentage change between 2014 and 2015? ;674 : 663 ;11:17;17:11;02:05;16:17;B;The amount sold of medical and pharmaceutical products increased by 5.2% between 2016 and 2017. What was the share of medical and pharmaceutical products in total sold production of chemicals in 2016 (rounded to one decimal place)? ;23.8% ;24.4% ;26.7%;25.6% ;24.1% ;;E;What was the difference between the organic and inorganic shares in intra-EU-28 exports of chemicals in 2017 (rounded to one decimal place)? ;12.1% ;18.6% ;64.0% ;29.5% ;63.6% ;;A
17;If the average cost of a 75cl bottle of red wine in the Netherlands was €6.63 in 2015, what was the per capita spending on red wine in 2015? ;€18.15 ;€27.87 ;€20.62 ;€27.50 ;€37.02 ;D;If the change in consumption of white wine between 2010 and 2015 had been the same as the change for rosé wine over the same period, what would the consumption figure for white wine have been in 2015? ;56;60;67;14;66;;B;What was the percentage change in per capita consumption of red wine between 2005 and 2010? ;−4.2% ;−4.4% ;−5.1% ;−3.2% ;−3.9% ;;A
18;What was the ratio of the share of Italian young people aged 20-24 years participating in education and learning two or more foreign languages in 2015 to the share for the EU-28? Choose the closest option. ;08:05;17:10;04:03;03:02;96:59:00;C;"The number of French young people aged 20-24 years participating in education was 1.365 million in 2010, and it increased by
3.6% between 2010 and 2015. Find the
increase between 2010 and 2015 of French young people aged 20-24 years who were participating in education and learning two or more foreign languages (in thousands).";95 thousand ;67 thousand ;94747 thousand ;56 thousand ;765 thousand ;;A;The German population aged 15-29 years in 2015 was 23% greater than that of Italy. By what percentage was the number of German young people aged 15-29 years participating in education in 2015 larger than that in Italy (rounded to one decimal place)? ;9.1% ;50.2% ;64.2% ;29.5% ;12.2% ;;B
19;"What percentage of biomass energy did bio
fuels account for in 2017 in the US?";Around 21% ;Around 36% ;Around 48% ;Around 54% ;There’s not enough information ;C;If all the percentage values had stayed the same and the amount of hydroelectric energy produced had been 2 quadrillion Btu, what would have been the total amount of energy produced in 2017 in the US? ;18.2 quadrillion Btu ;33.4 quadrillion Btu ;57.6 quadrillion Btu ;72.7 quadrillion Btu ;91.9 quadrillion Btu ;;D;If the amount of petroleum based energy had decreased by 10%, and energy from the other sources had increased by equal amounts so that the total amount of energy produced stayed the same, what would have been the amount of energy produced from coal? ;13.2 quadrillion Btu ;14.2 quadrillion Btu ;14.6 quadrillion Btu ;16.1 quadrillion Btu ;17.3 quadrillion Btu ;;C
20;What percentage of Teen & young adult books belong to more than one subcategory? ;12.3% ;15.9% ;17.2% ;20.4% ;22.8% ;B;What percentage of Teen & young adult books belong to the general reference subcategory? ;0.45% ;0.7% ;0.82% ;1.51%;1.12% ;;C;What percentage of the reference subcategory would dictionaries represent if we added another 1000 atlases? ;15.67% ;16.8% ;18.21% ;19.72% ;25.82% ;;D
21;You travel from Brussels to Strasbourg, departing and arriving on time. The cruising speed of your train is 15% faster than its overall average speed. What is its cruising speed to the nearest kilometre per hour? ;100;116;125;133;150;D;You are travelling from Brussels to Luxembourg but due to adverse conditions the train travels 10% slower than normal. How late do you arrive in Luxembourg? ;5m 35s ;9m 30s ;10m 31s ;12m 45s ;15m 10s ;;C;Trains leave Brussels for Berlin every 2 hours starting at 0600 and similarly from Berlin starting at 0500. If you depart Brussels at 0800, how many Brussels-bound trains do you pass on your journey to Berlin? ;4;5;6;7;8;;B
22;"In 2015 the number of unemployed in
Ireland was 10000 more than in 2010 and the percentage of the workforce unemployed
was 0.1 percentage points less in 2010 than 2015. What was the percentage change in population in Ireland between 2010 and 2015?";−0.5% ;0%;5.7% ;6.8% ;−3.8% ;D;What percentage of the number of unemployed people in Portugal is the number of unemployed in Hungary in 2015? ;87.4% ;92.6% ;96.9% ;96.6% ;103%;;B;The percentage of the workforce unemployed in Croatia rose by 5% between 2010 and 2015 and the population rose by 3.3% over the same period. What was the rise in the number of unemployed in Croatia between 2010 and 2015? ;5715;18912;7939;104680;12542;;E
23;Assuming that 66% of the population is of working age, in what year in the 2007-2011 period was the number of unemployed people of working age at its peak? ;2007;2008;2009;2010;2011;D;Assuming that 66% of the population is of working age from 15 to 74, and that every age group is equally represented in the unemployed working age population, how many of those unemployed people who are of working age in 2017 will be older than 74 years in 2020?;Less then 14000 ;Around 14500 ;Around 15000 ;Around 15500 ;More then 16000 ;;B;At what rate did the number of people (of any age) who were not working change from 2007 to 2017, assuming that 66% of the population is of working age, and that nobody outside the 15-74 age group has a job? ;Around a 7% increase ;Around a 38% increase ;It stayed roughly the same ;Around a 38 % decrease ;Around a 7% decrease ;;E
24;What was the total water usage of the domestic sector in Latvia in 2015 as a percentage of that of Lithuania (rounded to one decimal place)? ;68.0% ;75.9% ;87.4% ;111.6% ;115.1% ;B;"What was the difference in the average
per capita water usage of each of the five countries in 2015 and 2010 (in m3, rounded to one decimal place)?";3.4 m3 ;17.4 m3 ;13.2 m3 ;16.8 m3 ;5.9 m3 ;;A;"Total water usage by the domestic sector D.
in Lithuania increased by 40.3 million
m3 between 2011 and 2015. What was the population of Lithuania in 2011 (in millions, rounded to one decimal place)?";4.2 million ;2.9 million ;2.4 million ;2.7 million ;3.1 million ;;E
25;The population of Croatia increased by 7.5% between 2005 and 2015. How many more births were there in Croatia in 2015 than in 2005 (rounded to the nearest whole number)? ;6931;1433;1333;73310;80241;A;What is the average number of births across all four countries shown in 2005 (rounded to the nearest whole number)? ;92704;102314;98433;96154;100238;;C;"In Portugal there were 4 more births in
2015 than there were in 2005. What was the percentage change in population of Portugal over this time?";5%;−5% ;0.1%;− 0 . 1% ;3.6% ;−3.6% ;E
26;The company is realigning its fishing fleet distribution according to changing catch expectations. If, in 2013, the company had 42 fishing boats in the South Atlantic and the company increases its total fleet size by 15% in 2014, how many fishing boats will it have overall in the Atlantic Ocean in 2014, rounded to the nearest whole boat? ;105;112;129;140;161;E;By approximately what percentage does the number of the company’s fishing boats in the Pacific Ocean change between 2013 and 2014 if the overall fleet grows by 15% between the two years? ;-16.67% ;-5.00% ;-4.17% ;-1.25% ;+27.78% ;;C;"If the Pacific Ocean is 2.3 times as large as
the Indian Ocean, by what percentage is
the company’s number of boats per square kilometer in the Indian Ocean greater than in the Pacific Ocean in 2014?";30%;92%;130%;230%;Impossible to tell ;;C
27;If 5% of production in Quarter 1 2014 came from 50 wind farms and the same percentage of Quarter 2 2014 production was also contributed by wind farms, how many wind farms produced electricity in that quarter? You should assume that all operational wind farms produce identical amounts of electricity as each other and in each quarter. ;42;48;52;55;Cannot say ;A;In 2014, Hungary exported 79% of its excess capacity. How many GWh of excess electricity does Hungary still need to generate in the rest of 2015 to achieve the same export volume in 2015 if in the first half of 2015 it exported 50% of its excess capacity? ;4.2 GWh ;5.1 GWh ;5.8 GWh ;6.7 GWh ;It cannot achieve the same export ;;B;The Paks nuclear power plant in Hungary produces 14.8 GWh annually and its rate of production is constant. In how many of the quarters shown was Paks’s production more than 30% of total production? ;1;2;4;In all of them ;;;C
28;What was the difference between 2017 and 2007 in the total number of persons living in French private households (in millions, rounded to one decimal place)? ;2.9 million ;3.6 million ;9.2 million;6.3 million ;8.0 million ;B;What was the percentage change between 2007 and 2017 in the number of couples with children living in private households in Italy (rounded to two decimal places)? ;3.40% ;9.08% ;–2.98% ;–2.60% ;5.91% ;;C;"The total number of EU-28 private households increased by 0.65% in 2018, and the share
of couples without children didn’t change. What was the EU-28 total number of persons without children in 2018 (rounded to the nearest million)?";110 million ;55 million ;111 million ;27 million ;1 million ;;C
29;As a planet travels around the Sun (orbital period), the distance it covers is 6.3 times its distance from the Sun. At what speed does the Earth travel around the Sun in km/sec? ;0.03 ;0.3 ;3;30;300;D;How much faster than Venus is Mercury travelling? The distance travelled by a planet around the Sun is the distance of the planet from the Sun multiplied by 6.3. ;24%;47%;67%;85%;125%;;B;A future astronaut on Mars has to wait at least 8m 40s to get a response from Earth to his messages. This minimum delay occurs when the distance of Mars from Earth is the distance of Mars from the Sun minus Earth’s distance from the Sun. At what speed do his messages travel (in km/sec)?;120,000;150,000;210,000;270,000;300,000;;E
30;Five teams work on closing financial audit files and each team sometimes makes errors. Which team closes the lowest number of files per year without errors?;Team A ;Team B ;Team C ;Team D ;Team E ;B;If Team C’s error rate deteriorated to 17% and Team B’s improved to 2%, how many fewer files would Team C be able to close without errors than Team B? ;35;250;260;350;500;;C;If teams progress through files at a constant rate from month to month, how many files will the five teams close by the end of September? ;16525;17667;18258;19875;22083;;D
31;A country is considering the adoption of a new tax system. Under which system does a person earning 55 000 € / year owe the least in taxes? ;System 1 ;System 2 ;System 3 ;Systems 1 and 2 are the same ;All Systems are the same ;B;What is the effective tax rate of a person earning 62 000 € annually under System 3? ;15.66% ;15.98% ;19.53%;19.77% ;23.65% ;;C;A person earns 75 000 € a year. By what percentage is their after-tax income greater or smaller under System1 than under System 3? ;Approximately 1% smaller ;Approximately 2% smaller ;Approximately 2% greater ;Approximately 3.9% smaller ;Approximately 3.9% greater ;;B
32;If they are ranked by the percentage that a power station generates of the total electricity consumption of the given country, which station would be in the middle? ;Three Gorges Dam ;Itaipu Dam ;Guri ;Grand Coulee ;Krasnoyarsk ;E;Venezuela plans to build another power station of the same production capacity as that of Guri. If existing power stations produce 78% of the electricity consumed in Venezuela, how much electricity will Venezuela have available for export after completion of the new power station? ;20.97 TWh ;34.523 MWh ;34 523 MWh ;20 970 000 MWh ;34 523 000 MWh ;;E;"If the electricity produced by the Three Gorges Dam would be enough to cover
3.24% of the electricity consumed in the EU, and the EU produces 30% of the electricity
it consumes from nuclear power, how much electricity in the EU is produced from nuclear power?";912.04 MWh ;91.20 TWh ;912.00 TWh ;912.04 TWh ;3040.12 TWh ;;D
33;What percentage of all household appliances are energy-efficient washing machines?;9%;13%;16%;20%;80%;C;If the share of energy-efficient units among refrigerators and air conditioners rose by 20%, how many energy-efficient refrigerators and air conditioners would there be? ;4 728 ;6 024 ;6 420 ;9 264 ;10 200 ;;D;If D-rated household appliances are ranked by the number of such units in a highest-to- lowest list, which one would be at the top of the list? ;Air conditioners ;Washing machines ;Dryers ;Refrigerators ;Impossible to tell ;;D
34;The population of Norway increased by 577 thousand between 2007 and 2017. By how much did the number of persons aged 0-14 in Norway change between these years (rounded to the nearest thousand)? ;–39 thousand ;–84 thousand ;28 thousand ;103 thousand ;112 thousand ;C;"By what percentage was the number of persons 15 years old or over in Denmark
in 2017 larger than the number of persons belonging to the same age group in Finland (rounded to two decimal places)?";3.52% ;4.48% ;7.36% ;2.61% ;–0.30% ;;B;What was the average change per country in the 5 countries in the share of persons aged 15-64 between 2007 and 2017? ;–1.98% ;–9.90% ;–2.99% ;–4.60% ;–1.14% ;;A
35;Which forestry has the most productive employees? ;Craybourne Woodlands ;Stirling Forest ;Woodcombe Hills Woods ;Hampton Forest ;Frasier Green ;E;If 50 tonnes of wood are needed for each outdoor furniture shipment, how many shipments could have been manufactured in total relying on all forestries if 10% of the wood used for roofing had been shifted to outdoor furniture? ;26;88;114;304;330;;E;Based on the average of all five forestries, how much roofing wood is supplied by each forestry employee? ;56.52 tonnes ;66.09 tonnes ;156.52 tonnes ;565.2 tonnes ;156.2 tonnes ;;A
36;Assuming a glass is a fifth of a bottle, which wine provides the most extra profit in euro terms when sold by the glass? ;Chablis;Chardonnay ;Margaux;Sancerre;Tavel ;A;The restaurant makes 220% profit on all bottles of wine. In one evening they make €287.10 profit on Sancerre alone. How many bottles of Sancerre did they sell? ;6;10;12;15;18;;C;If a glass is 187.5ml and a bottle is 750ml, what is the percentage increase in revenue on a bottle of Tavel when sold by the glass? ;5.9% ;7.8% ;8.3% ;9.4% ;11.1% ;;B
37;In the medley, the winner spent 26.2% of the time on the butterfly section of the race. What was his average speed during that leg of the race? ;1.67 m/s ;1.75 m/s ;1.8 m/s ;2.0 m/s ;2.25 m/s ;A;How much faster was the gold medal winner than the bronze medal winner in the 200m backstroke event? ;0.1% ;1.0% ;1.3%;1.5% ;2.0% ;;C;From the moment that the gold medallist finished until he himself finished, the freestyle silver medal winner swam 10% faster than his overall average. To the nearest centimetre, by what distance did the gold medallist beat the silver medallist? ;14;17;25;36;51;;B
38;If China exported 30% of its steel production to the United States in 2014, how much steel did the US use in that year? ;143.85 million tonnes ;166.05 million tonnes ;310.97 million tonnes ;328.82 million tonnes ;Cannot say ;E;How much more steel did the EU export in 2013 than Japan? ;66.2% more ;71.6% more ;161% more ;166.2% more ;171.6% more ;;C;Approximately what percentage of global steel production did 2013 exports make up if production in every region was the same in 2013 as in 2014? ;Around 6% ;Around 14% ;Around 38% ;Around 50% ;Around 70% ;;C
39;Generation of electricity rose by 10% between 2005 and 2010. Tidal power generation doubled over that period. What percentage of the electricity was generated by tidal power in 2005? ;1.12% ;1.36% ;1.59% ;1.73% ;1.94% ;B;In 2010, 2.4 million kWh of electricity was generated from biomass. How much was generated from solar power (in millions of kWh)? ;5.3;5.9;6.2;6.8;7.3;;A;If total electricity generation rose by 10% between 2005 and 2010, what was the percentage change in fossil fuel generated electricity over that time? ;+3.6% ;+1.8% ;No change ;-1.8% ;-3.6% ;;A
40;Assuming a sample size of 1000 children, where each gender is represented equally, by what percentage did the number of boys who like reading decrease from 2010 to 2014? ;8%;12%;17%;21%;25%;E;What was the sample size if in 2012 the number of boys and girls who liked reading were both 150? ;792;823;833;886;938;;D;Assuming an overall sample size of 1000 children where the four different age groups are equally represented, and in each age group the genders are also equally represented, what was the number of boys aged 9 to 11 who liked reading in 2010? ;41;48;58;64;There’s not enough information ;;E
;;;;;;;;;;;;;;;;;;;;;;;
